respondent_id,thought_id,label
32,7,Disagree
37,3,Agree
37,1,Disagree
37,14,Disagree
37,19,Disagree
24,4,Agree
32,39,Agree
37,38,Disagree
6,18,Agree
6,1,Disagree
32,9,Disagree
37,21,Disagree
37,5,Disagree
32,37,Agree
6,11,Disagree
6,4,Agree
6,14,Agree
24,29,Agree
37,8,Disagree
1,6,Agree
37,31,Disagree
32,20,Disagree
1,40,Agree
37,9,Agree
32,2,Agree
37,23,Disagree
37,15,Disagree
1,0,Agree
32,16,Agree
32,13,Disagree
37,28,Disagree
32,3,Agree
37,35,Disagree
37,34,Disagree
1,7,Disagree
1,27,Agree
37,10,Disagree
37,39,Disagree
37,0,Disagree
37,17,Disagree
37,14,Disagree
37,24,Disagree
37,11,Agree
27,31,Agree
27,9,Agree
27,10,Agree
34,39,Agree
27,23,Agree
0,9,Agree
34,19,Agree
0,1,Agree
34,30,Disagree
0,8,Agree
0,13,Agree
27,18,Agree
34,9,Disagree
0,20,Agree
34,31,Agree
20,24,Disagree
0,25,Agree
34,30,Disagree
20,18,Agree
16,14,Disagree
20,22,Agree
16,40,Disagree
20,2,Disagree
16,24,Agree
34,34,Disagree
16,6,Agree
34,35,Agree
20,29,Agree
11,19,Agree
11,8,Agree
11,25,Agree
11,38,Agree
38,39,Agree
11,17,Agree
13,17,Agree
13,3,Agree
13,22,Agree
11,13,Agree
38,1,Agree
25,4,Agree
11,10,Agree
11,4,Agree
13,39,Agree
38,14,Disagree
11,6,Agree
11,18,Agree
25,8,Agree
38,4,Disagree
13,8,Agree
38,20,Agree
11,15,Agree
38,8,Agree
2,10,Agree
13,16,Agree
25,15,Disagree
2,6,Agree
11,6,Agree
13,14,Agree
38,4,Disagree
38,16,Disagree
2,19,Agree
25,23,Agree
2,14,Agree
11,22,Agree
2,21,Agree
11,25,Agree
11,19,Agree
25,14,Agree
2,23,Agree
13,25,Agree
13,19,Agree
13,9,Agree
2,36,Agree
2,4,Agree
2,38,Agree
2,13,Agree
38,7,Agree
11,7,Agree
28,17,Disagree
41,3,Agree
28,10,Disagree
28,8,Disagree
28,13,Disagree
41,1,Disagree
41,16,Agree
28,23,Disagree
41,10,Agree
28,39,Disagree
28,37,Disagree
41,17,Agree
28,7,Disagree
28,35,Agree
28,15,Agree
28,29,Disagree
28,33,Disagree
21,26,Agree
21,16,Agree
21,18,Agree
12,24,Disagree
21,29,Agree
21,14,Agree
12,39,Disagree
3,1,Agree
3,4,Agree
12,17,Agree
12,31,Disagree
21,38,Agree
3,11,Agree
3,20,Agree
3,8,Agree
3,9,Agree
21,1,Agree
21,13,Disagree
21,11,Disagree
21,24,Agree
21,28,Agree
3,28,Agree
3,7,Agree
3,17,Agree
12,4,Disagree
21,22,Agree
12,1,Agree
12,11,Agree
21,35,Agree
12,21,Disagree
21,40,Agree
18,25,Agree
3,0,Agree
21,31,Agree
18,32,Agree
21,40,Agree
21,33,Agree
21,15,Agree
12,34,Disagree
18,6,Agree
12,13,Disagree
21,29,Agree
21,40,Agree
30,0,Agree
30,14,Agree
39,21,Agree
39,8,Agree
39,3,Agree
39,19,Agree
30,3,Agree
39,15,Agree
30,35,Disagree
30,32,Agree
40,20,Disagree
40,12,Agree
40,21,Agree
14,2,Agree
19,20,Agree
14,13,Agree
14,17,Agree
14,19,Agree
19,14,Disagree
19,9,Disagree
17,4,Agree
19,16,Disagree
14,1,Agree
14,31,Agree
19,29,Agree
14,36,Agree
14,24,Agree
14,38,Agree
17,19,Agree
14,15,Agree
14,23,Agree
17,18,Agree
17,1,Agree
8,39,Disagree
10,34,Disagree
33,15,Agree
10,31,Disagree
10,24,Disagree
15,9,Agree
10,0,Agree
15,14,Disagree
33,15,Agree
15,12,Agree
15,15,Disagree
10,8,Disagree
8,9,Agree
15,13,Disagree
33,12,Disagree
10,3,Agree
15,6,Disagree
33,14,Agree
10,28,Disagree
33,6,Agree
10,13,Agree
10,18,Agree
33,3,Agree
33,23,Disagree
8,4,Disagree
8,19,Disagree
8,36,Disagree
10,33,Disagree
33,13,Agree
9,22,Agree
15,25,Disagree
8,22,Disagree
10,14,Disagree
10,7,Disagree
8,39,Disagree
10,12,Agree
10,32,Agree
10,16,Agree
8,38,Disagree
8,22,Disagree
10,19,Disagree
33,3,Agree
33,15,Agree
33,31,Agree
33,20,Disagree
8,2,Disagree
33,26,Agree
8,3,Agree
8,31,Disagree
33,33,Agree
10,11,Agree
33,24,Agree
15,26,Disagree
15,10,Agree
